Age,Attrition,BusinessTravel,DailyRate,Department,Education,EducationField,EnvironmentSatisfaction,Gender,EmployeeNumber,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Experience_Band,Leadership_Flag,Income_Band,Promoted_Recently
22,No,Non-Travel,1123,Research & Development,2,Medical,4,Male,22,96,4,1,Laboratory Technician,4,Divorced,2935,7324,Yes,13,3,2,2,1,2,2,1,0,0,0,0-2 years,No,Low,No
53,No,Travel_Rarely,1219,Sales,4,Life Sciences,1,Female,23,78,2,4,Manager,4,Married,15427,22021,No,16,3,3,0,31,3,3,25,8,3,7,10+ years,Yes,Very High,Yes
38,No,Travel_Rarely,371,Research & Development,3,Life Sciences,4,Male,24,45,3,1,Research Scientist,4,Single,3944,4306,Yes,11,3,3,0,6,3,3,3,2,1,2,6-10 years,No,Medium,Yes
24,No,Non-Travel,673,Research & Development,2,Other,1,Female,26,96,4,2,Manufacturing Director,3,Divorced,4011,8232,No,18,3,4,1,5,5,2,4,2,1,3,3-5 years,No,Medium,Yes
36,Yes,Travel_Rarely,1218,Sales,4,Life Sciences,3,Male,27,82,2,1,Sales Representative,1,Single,3407,6986,No,23,4,2,0,10,4,3,5,3,0,3,6-10 years,No,Medium,No
34,No,Travel_Rarely,419,Research & Development,4,Life Sciences,1,Female,28,53,3,3,Research Director,2,Single,11994,21293,No,11,3,3,0,13,4,3,12,6,2,11,10+ years,No,Very High,Yes
21,No,Travel_Rarely,391,Research & Development,2,Life Sciences,3,Male,30,96,3,1,Research Scientist,4,Single,1232,19281,No,14,3,4,0,0,6,3,0,0,0,0,0-2 years,No,Low,No
34,Yes,Travel_Rarely,699,Research & Development,1,Medical,2,Male,31,83,3,1,Research Scientist,1,Single,2960,17102,No,11,3,3,0,8,2,3,4,2,1,3,6-10 years,No,Low,Yes
53,No,Travel_Rarely,1282,Research & Development,3,Other,3,Female,32,58,3,5,Manager,3,Divorced,19094,10735,No,11,3,4,1,26,3,2,14,13,4,8,10+ years,Yes,Very High,Yes
32,Yes,Travel_Frequently,1125,Research & Development,1,Life Sciences,2,Female,33,72,1,1,Research Scientist,1,Single,3919,4681,Yes,22,4,2,0,10,5,3,10,2,6,7,6-10 years,No,Medium,Yes
42,No,Travel_Rarely,691,Sales,4,Marketing,3,Male,35,48,3,2,Sales Executive,2,Married,6825,21173,No,11,3,4,1,10,2,3,9,7,4,2,6-10 years,No,High,Yes
44,No,Travel_Rarely,477,Research & Development,4,Medical,1,Female,36,42,2,3,Healthcare Representative,4,Married,10248,2094,No,14,3,4,1,24,4,3,22,6,5,17,10+ years,No,Very High,Yes
46,No,Travel_Rarely,705,Sales,4,Marketing,2,Female,38,83,3,5,Manager,1,Single,18947,22822,No,12,3,4,0,22,2,2,2,2,2,1,10+ years,Yes,Very High,Yes
33,No,Travel_Rarely,924,Research & Development,3,Medical,3,Male,39,78,3,1,Laboratory Technician,4,Single,2496,6670,No,11,3,4,0,7,3,3,1,1,0,0,6-10 years,No,Low,No
44,No,Travel_Rarely,1459,Research & Development,4,Other,4,Male,40,41,3,2,Healthcare Representative,4,Married,6465,19121,Yes,13,3,4,0,9,5,4,4,2,1,3,6-10 years,No,High,Yes
30,No,Travel_Rarely,125,Research & Development,2,Medical,4,Male,41,83,2,1,Laboratory Technician,3,Single,2206,16117,No,13,3,1,0,10,5,3,10,0,1,8,6-10 years,No,Low,Yes
39,Yes,Travel_Rarely,895,Sales,3,Technical Degree,4,Male,42,56,3,2,Sales Representative,4,Married,2086,3335,No,14,3,3,1,19,6,4,1,0,0,0,10+ years,No,Low,No
24,Yes,Travel_Rarely,813,Research & Development,3,Medical,2,Male,45,61,3,1,Research Scientist,4,Married,2293,3020,Yes,16,3,1,1,6,2,2,2,0,2,0,6-10 years,No,Low,Yes
43,No,Travel_Rarely,1273,Research & Development,2,Medical,4,Female,46,72,4,1,Research Scientist,3,Divorced,2645,21923,No,12,3,4,2,6,3,2,5,3,1,4,6-10 years,No,Low,Yes
50,Yes,Travel_Rarely,869,Sales,2,Marketing,1,Male,47,86,2,1,Sales Representative,3,Married,2683,3810,Yes,14,3,3,0,3,2,3,3,2,0,2,3-5 years,No,Low,No
35,No,Travel_Rarely,890,Sales,3,Marketing,4,Female,49,97,3,1,Sales Representative,4,Married,2014,9687,No,13,3,1,0,2,3,3,2,2,2,2,0-2 years,No,Low,Yes
36,No,Travel_Rarely,852,Research & Development,4,Life Sciences,2,Female,51,82,2,1,Research Scientist,1,Married,3419,13072,Yes,14,3,4,1,6,3,4,1,1,0,0,6-10 years,No,Medium,No
33,No,Travel_Frequently,1141,Sales,3,Life Sciences,3,Female,52,42,4,2,Sales Executive,1,Married,5376,3193,No,19,3,1,2,10,3,3,5,3,1,3,6-10 years,No,Medium,Yes
35,No,Travel_Rarely,464,Research & Development,2,Other,3,Male,53,75,3,1,Laboratory Technician,4,Divorced,1951,10910,No,12,3,3,1,1,3,3,1,0,0,0,0-2 years,No,Low,No
27,No,Travel_Rarely,1240,Research & Development,4,Life Sciences,4,Female,54,33,3,1,Laboratory Technician,1,Divorced,2341,19715,No,13,3,4,1,1,6,3,1,0,0,0,0-2 years,No,Low,No
26,Yes,Travel_Rarely,1357,Research & Development,3,Life Sciences,1,Male,55,48,1,1,Laboratory Technician,3,Single,2293,10558,No,12,3,3,0,1,2,2,1,0,0,1,0-2 years,No,Low,No
27,No,Travel_Frequently,994,Sales,3,Life Sciences,4,Male,56,37,3,3,Sales Executive,3,Single,8726,2975,No,15,3,4,0,9,0,3,9,8,1,7,6-10 years,No,High,Yes
30,No,Travel_Frequently,721,Research & Development,2,Medical,3,Female,57,58,3,2,Laboratory Technician,4,Single,4011,10781,No,23,4,4,0,12,2,3,12,8,3,7,10+ years,No,Medium,Yes
41,Yes,Travel_Rarely,1360,Research & Development,3,Technical Degree,2,Female,58,49,3,5,Research Director,3,Married,19545,16280,No,12,3,4,0,23,0,3,22,15,15,8,10+ years,Yes,Very High,Yes
34,No,Non-Travel,1065,Sales,4,Marketing,2,Male,60,72,3,2,Sales Executive,3,Single,4568,10034,No,20,4,3,0,10,2,3,9,5,8,7,6-10 years,No,Medium,Yes
37,No,Travel_Rarely,408,Research & Development,2,Life Sciences,2,Male,61,73,3,1,Research Scientist,2,Married,3022,10227,No,21,4,1,0,8,1,3,1,0,0,0,6-10 years,No,Medium,No
46,No,Travel_Frequently,1211,Sales,4,Marketing,1,Male,62,98,3,2,Sales Executive,4,Single,5772,20445,Yes,21,4,3,0,14,4,3,9,6,0,8,10+ years,No,Medium,No
35,No,Travel_Rarely,1229,Research & Development,1,Life Sciences,4,Male,63,36,4,1,Laboratory Technician,4,Married,2269,4892,No,19,3,4,0,1,2,3,1,0,0,1,0-2 years,No,Low,No
48,Yes,Travel_Rarely,626,Research & Development,2,Life Sciences,1,Male,64,98,2,3,Laboratory Technician,3,Single,5381,19294,Yes,13,3,4,0,23,2,3,1,0,0,0,10+ years,No,Medium,No
28,Yes,Travel_Rarely,1434,Research & Development,4,Technical Degree,3,Male,65,50,3,1,Laboratory Technician,3,Single,3441,11179,Yes,13,3,3,0,2,3,2,2,2,2,2,0-2 years,No,Medium,Yes
44,No,Travel_Rarely,1488,Sales,5,Marketing,2,Female,68,75,3,2,Sales Executive,1,Divorced,5454,4009,Yes,21,4,3,1,9,2,2,4,3,1,3,6-10 years,No,Medium,Yes
35,No,Non-Travel,1097,Research & Development,2,Medical,3,Male,70,79,2,3,Healthcare Representative,1,Married,9884,8302,Yes,13,3,3,1,10,3,3,4,0,2,3,6-10 years,No,High,Yes
26,No,Travel_Rarely,1443,Sales,3,Marketing,3,Female,72,47,2,2,Sales Executive,4,Married,4157,21436,Yes,19,3,3,1,5,2,2,2,2,0,0,3-5 years,No,Medium,No
33,No,Travel_Frequently,515,Research & Development,2,Life Sciences,1,Female,73,98,3,3,Research Director,4,Single,13458,15146,Yes,12,3,3,0,15,1,3,15,14,8,12,10+ years,No,Very High,Yes
35,No,Travel_Frequently,853,Sales,5,Life Sciences,2,Male,74,71,3,3,Sales Executive,1,Married,9069,11031,No,22,4,4,1,9,3,2,9,8,1,8,6-10 years,No,High,Yes
35,No,Travel_Rarely,1142,Research & Development,4,Medical,3,Female,75,30,3,1,Laboratory Technician,1,Married,4014,16002,Yes,15,3,3,1,4,3,3,2,2,2,2,3-5 years,No,Medium,Yes
31,No,Travel_Rarely,655,Research & Development,4,Life Sciences,4,Male,76,48,3,2,Laboratory Technician,4,Divorced,5915,9528,No,22,4,4,1,10,3,2,7,7,1,7,6-10 years,No,Medium,Yes
37,No,Travel_Rarely,1115,Research & Development,4,Life Sciences,1,Male,77,51,2,2,Manufacturing Director,3,Divorced,5993,2689,No,18,3,3,1,7,2,4,7,5,0,7,6-10 years,No,Medium,No
32,No,Travel_Rarely,427,Research & Development,3,Medical,1,Male,78,33,3,2,Manufacturing Director,4,Married,6162,10877,Yes,22,4,2,1,9,3,3,9,8,7,8,6-10 years,No,High,Yes
38,No,Travel_Frequently,653,Research & Development,5,Life Sciences,4,Female,79,50,3,2,Laboratory Technician,4,Single,2406,5456,No,11,3,4,0,10,2,3,10,3,9,9,6-10 years,No,Low,Yes
50,No,Travel_Rarely,989,Research & Development,2,Medical,2,Female,80,43,2,5,Research Director,3,Divorced,18740,16701,Yes,12,3,4,1,29,2,2,27,3,13,8,10+ years,Yes,Very High,Yes
59,No,Travel_Rarely,1435,Sales,3,Life Sciences,1,Female,81,99,3,3,Sales Executive,1,Single,7637,2354,No,11,3,4,0,28,3,2,21,16,7,9,10+ years,No,High,Yes
36,No,Travel_Rarely,1223,Research & Development,3,Technical Degree,3,Female,83,59,3,3,Healthcare Representative,3,Divorced,10096,8202,No,13,3,2,3,17,2,3,17,14,12,8,10+ years,No,Very High,Yes
55,No,Travel_Rarely,836,Research & Development,3,Medical,4,Female,84,33,3,4,Manager,3,Divorced,14756,19730,Yes,14,3,3,3,21,2,3,5,0,0,2,10+ years,Yes,Very High,No
36,No,Travel_Frequently,1195,Research & Development,3,Life Sciences,2,Male,85,95,2,2,Manufacturing Director,2,Single,6499,22656,No,13,3,3,0,6,3,3,6,5,0,3,6-10 years,No,High,No
45,No,Travel_Rarely,1339,Research & Development,3,Life Sciences,2,Male,86,59,3,3,Research Scientist,1,Divorced,9724,18787,No,17,3,3,1,25,2,3,1,0,0,0,10+ years,No,High,No
35,No,Travel_Frequently,664,Research & Development,3,Medical,2,Male,88,79,3,1,Research Scientist,1,Married,2194,5868,No,13,3,4,1,5,2,2,3,2,1,2,3-5 years,No,Low,Yes
36,Yes,Travel_Rarely,318,Research & Development,3,Medical,4,Male,90,79,2,1,Research Scientist,3,Married,3388,21777,Yes,17,3,1,1,2,0,2,1,0,0,0,0-2 years,No,Medium,No
59,No,Travel_Frequently,1225,Sales,1,Life Sciences,1,Female,91,57,2,2,Sales Executive,3,Single,5473,24668,No,11,3,4,0,20,2,2,4,3,1,3,10+ years,No,Medium,Yes
29,No,Travel_Rarely,1328,Research & Development,3,Life Sciences,3,Male,94,76,3,1,Research Scientist,2,Married,2703,4956,No,23,4,4,1,6,3,3,5,4,0,4,6-10 years,No,Low,No
31,No,Travel_Rarely,1082,Research & Development,4,Medical,3,Male,95,87,3,1,Research Scientist,2,Single,2501,18775,No,17,3,2,0,1,4,3,1,1,1,0,0-2 years,No,Low,Yes
32,No,Travel_Rarely,548,Research & Development,3,Life Sciences,2,Male,96,66,3,2,Research Scientist,2,Married,6220,7346,No,17,3,2,2,10,3,3,10,4,0,9,6-10 years,No,High,No
36,No,Travel_Rarely,132,Research & Development,3,Life Sciences,2,Female,97,55,4,1,Laboratory Technician,4,Married,3038,22002,No,12,3,2,0,5,3,3,1,0,0,0,3-5 years,No,Medium,No
31,No,Travel_Rarely,746,Research & Development,4,Life Sciences,3,Female,98,61,3,2,Manufacturing Director,4,Single,4424,20682,No,23,4,4,0,11,2,3,11,7,1,8,10+ years,No,Medium,Yes
35,No,Travel_Rarely,776,Sales,4,Marketing,3,Male,100,32,2,2,Sales Executive,1,Single,4312,23016,No,14,3,2,0,16,2,3,15,13,2,8,10+ years,No,Medium,Yes
45,No,Travel_Rarely,193,Research & Development,4,Other,4,Male,101,52,3,3,Research Director,1,Married,13245,15067,Yes,14,3,2,0,17,3,4,0,0,0,0,10+ years,No,Very High,No
37,No,Travel_Rarely,397,Research & Development,4,Medical,1,Male,102,30,3,3,Research Director,3,Single,13664,25258,No,13,3,1,0,16,3,4,5,2,0,2,10+ years,No,Very High,No
46,No,Travel_Rarely,945,Human Resources,2,Medical,2,Male,103,80,3,2,Human Resources,2,Divorced,5021,10425,Yes,22,4,4,1,16,2,3,4,2,0,2,10+ years,No,Medium,No
30,No,Travel_Rarely,852,Research & Development,1,Life Sciences,4,Male,104,55,2,2,Laboratory Technician,4,Married,5126,15998,Yes,12,3,3,2,10,1,2,10,8,3,0,6-10 years,No,Medium,Yes
35,No,Travel_Rarely,1214,Research & Development,3,Medical,2,Male,105,30,2,1,Research Scientist,3,Single,2859,26278,No,18,3,1,0,6,3,3,6,4,0,4,6-10 years,No,Low,No
55,No,Travel_Rarely,111,Sales,2,Life Sciences,1,Male,106,70,3,3,Sales Executive,4,Married,10239,18092,No,14,3,4,1,24,4,3,1,0,1,0,10+ years,No,Very High,Yes
38,No,Non-Travel,573,Research & Development,3,Medical,2,Female,107,79,1,2,Research Scientist,4,Divorced,5329,15717,Yes,12,3,4,3,17,3,3,13,11,1,9,10+ years,No,Medium,Yes
34,No,Travel_Rarely,1153,Research & Development,2,Medical,1,Male,110,94,3,2,Manufacturing Director,2,Married,4325,17736,No,15,3,3,0,5,2,3,5,2,1,3,3-5 years,No,Medium,Yes
56,No,Travel_Rarely,1400,Research & Development,3,Life Sciences,4,Male,112,49,1,3,Manufacturing Director,4,Single,7260,21698,No,11,3,1,0,37,3,2,6,4,0,2,10+ years,No,High,No
23,No,Travel_Rarely,541,Sales,1,Technical Degree,3,Male,113,62,3,1,Sales Representative,1,Divorced,2322,9518,No,13,3,3,1,3,3,3,0,0,0,0,3-5 years,No,Low,No
51,No,Travel_Rarely,432,Research & Development,4,Life Sciences,4,Male,116,96,3,1,Laboratory Technician,4,Married,2075,18725,No,23,4,2,2,10,4,3,4,2,0,3,6-10 years,No,Low,No
30,No,Travel_Rarely,288,Research & Development,3,Life Sciences,3,Male,117,99,2,2,Healthcare Representative,4,Married,4152,15830,No,19,3,1,3,11,3,3,11,10,10,8,10+ years,No,Medium,Yes
46,Yes,Travel_Rarely,669,Sales,2,Medical,3,Male,118,64,2,3,Sales Executive,4,Single,9619,13596,No,16,3,4,0,9,3,3,9,8,4,7,6-10 years,No,High,Yes
40,No,Travel_Frequently,530,Research & Development,4,Life Sciences,3,Male,119,78,2,4,Healthcare Representative,2,Married,13503,14115,No,22,4,4,1,22,3,2,22,3,11,11,10+ years,Yes,Very High,Yes
51,No,Travel_Rarely,632,Sales,4,Marketing,3,Male,120,71,3,2,Sales Executive,4,Single,5441,8423,Yes,22,4,4,0,11,2,1,10,7,1,0,10+ years,No,Medium,Yes
30,No,Travel_Rarely,1334,Sales,2,Medical,3,Female,121,63,2,2,Sales Executive,2,Divorced,5209,19760,Yes,12,3,2,3,11,4,2,11,8,2,7,10+ years,No,Medium,Yes
46,No,Travel_Frequently,638,Research & Development,3,Medical,3,Male,124,40,2,3,Healthcare Representative,1,Married,10673,3142,Yes,13,3,3,1,21,5,2,10,9,9,5,10+ years,No,Very High,Yes
32,No,Travel_Rarely,1093,Sales,4,Medical,2,Male,125,87,3,2,Sales Executive,3,Single,5010,24301,No,16,3,1,0,12,0,3,11,8,5,7,10+ years,No,Medium,Yes
54,No,Travel_Rarely,1217,Research & Development,4,Technical Degree,1,Female,126,60,3,3,Research Director,3,Married,13549,24001,No,12,3,1,1,16,5,1,4,3,0,3,10+ years,No,Very High,No
24,No,Travel_Rarely,1353,Sales,2,Other,1,Female,128,33,3,2,Sales Executive,3,Married,4999,17519,No,21,4,1,1,4,2,2,3,2,0,2,3-5 years,No,Medium,No
28,No,Non-Travel,120,Sales,3,Medical,2,Male,129,43,3,2,Sales Executive,3,Married,4221,8863,No,15,3,2,0,5,3,4,5,4,0,4,3-5 years,No,Medium,No
58,No,Travel_Rarely,682,Sales,4,Medical,4,Male,131,37,3,4,Sales Executive,3,Single,13872,24409,No,13,3,3,0,38,1,2,37,10,1,8,10+ years,Yes,Very High,Yes
44,No,Non-Travel,489,Research & Development,3,Medical,2,Male,132,67,3,2,Laboratory Technician,2,Married,2042,25043,No,12,3,3,1,17,3,4,3,2,1,2,10+ years,No,Low,Yes
37,Yes,Travel_Rarely,807,Human Resources,4,Human Resources,3,Male,133,63,3,1,Human Resources,1,Divorced,2073,23648,Yes,22,4,4,0,7,3,3,3,2,0,2,6-10 years,No,Low,No
32,No,Travel_Rarely,827,Research & Development,1,Life Sciences,4,Male,134,71,3,1,Research Scientist,1,Single,2956,15178,No,13,3,4,0,1,2,3,1,0,0,0,0-2 years,No,Low,No
20,Yes,Travel_Frequently,871,Research & Development,3,Life Sciences,4,Female,137,66,2,1,Laboratory Technician,4,Single,2926,19783,Yes,18,3,2,0,1,5,3,1,0,1,0,0-2 years,No,Low,Yes
34,No,Travel_Rarely,665,Research & Development,4,Other,1,Female,138,41,3,2,Research Scientist,3,Single,4809,12482,No,14,3,3,0,16,3,3,16,13,2,10,10+ years,No,Medium,Yes
37,No,Non-Travel,1040,Research & Development,2,Life Sciences,3,Male,139,100,2,2,Healthcare Representative,4,Divorced,5163,15850,No,14,3,4,1,17,2,4,1,0,0,0,10+ years,No,Medium,No
59,No,Non-Travel,1420,Human Resources,4,Human Resources,3,Female,140,32,2,5,Manager,4,Married,18844,21922,No,21,4,4,1,30,3,3,3,2,2,2,10+ years,Yes,Very High,Yes
50,No,Travel_Frequently,1115,Research & Development,3,Life Sciences,1,Female,141,73,3,5,Research Director,2,Married,18172,9755,Yes,19,3,1,0,28,1,2,8,3,0,7,10+ years,Yes,Very High,No
25,Yes,Travel_Rarely,240,Sales,3,Marketing,3,Male,142,46,2,2,Sales Executive,3,Single,5744,26959,Yes,11,3,4,0,6,1,3,6,4,0,3,6-10 years,No,Medium,No
25,No,Travel_Rarely,1280,Research & Development,1,Medical,4,Male,143,64,2,1,Research Scientist,4,Married,2889,26897,No,11,3,3,2,2,2,3,2,2,2,1,0-2 years,No,Low,Yes
22,No,Travel_Rarely,534,Research & Development,3,Medical,2,Female,144,59,3,1,Laboratory Technician,4,Single,2871,23785,No,15,3,3,0,1,5,3,0,0,0,0,0-2 years,No,Low,No
51,No,Travel_Frequently,1456,Research & Development,4,Medical,1,Female,145,30,2,3,Healthcare Representative,1,Single,7484,25796,No,20,4,3,0,23,1,2,13,12,12,8,10+ years,No,High,Yes
34,Yes,Travel_Frequently,658,Research & Development,3,Life Sciences,1,Male,147,66,1,2,Laboratory Technician,3,Single,6074,22887,Yes,24,4,4,0,9,3,3,9,7,0,6,6-10 years,No,High,No
54,No,Non-Travel,142,Human Resources,3,Human Resources,4,Female,148,30,4,4,Manager,4,Single,17328,13871,Yes,12,3,3,0,23,3,3,5,3,4,4,10+ years,Yes,Very High,Yes
24,No,Travel_Rarely,1127,Research & Development,1,Life Sciences,2,Male,150,52,3,1,Laboratory Technician,3,Married,2774,13257,No,12,3,3,1,6,2,3,5,3,1,2,6-10 years,No,Low,Yes
34,No,Travel_Rarely,1031,Research & Development,4,Life Sciences,3,Female,151,45,2,2,Research Scientist,2,Divorced,4505,15000,No,15,3,3,1,12,3,3,1,0,0,0,10+ years,No,Medium,No
37,No,Travel_Rarely,1189,Sales,3,Life Sciences,3,Male,152,87,3,3,Sales Executive,4,Single,7428,14506,No,12,3,1,0,12,3,3,5,3,1,3,10+ years,No,High,Yes
34,No,Travel_Rarely,1354,Research & Development,3,Medical,3,Female,153,45,2,3,Manager,1,Single,11631,5615,No,12,3,4,0,14,6,3,11,10,5,8,10+ years,No,Very High,Yes
36,No,Travel_Frequently,1467,Sales,2,Technical Degree,2,Female,154,92,3,3,Sales Executive,4,Married,9738,22952,No,14,3,3,1,10,6,3,9,7,2,8,6-10 years,No,High,Yes
36,No,Travel_Rarely,922,Research & Development,2,Life Sciences,1,Female,155,39,3,1,Laboratory Technician,4,Divorced,2835,2561,No,22,4,1,1,7,2,3,1,0,0,0,6-10 years,No,Low,No
43,No,Travel_Frequently,394,Sales,2,Life Sciences,3,Male,158,92,3,4,Manager,4,Married,16959,19494,Yes,12,3,4,2,25,3,4,25,12,4,12,10+ years,Yes,Very High,Yes
30,No,Travel_Frequently,1312,Research & Development,3,Life Sciences,1,Male,159,96,1,1,Research Scientist,3,Divorced,2613,22310,No,25,4,3,3,10,2,2,10,7,0,9,6-10 years,No,Low,No
33,No,Non-Travel,750,Sales,2,Marketing,3,Male,160,95,3,2,Sales Executive,2,Married,6146,15480,No,13,3,1,1,8,2,4,7,7,0,7,6-10 years,No,High,No
56,Yes,Travel_Rarely,441,Research & Development,4,Life Sciences,2,Female,161,72,3,1,Research Scientist,2,Married,4963,4510,Yes,18,3,1,3,7,2,3,5,4,4,3,6-10 years,No,Medium,Yes
51,No,Travel_Rarely,684,Research & Development,3,Life Sciences,1,Male,162,51,3,5,Research Director,3,Single,19537,6462,No,13,3,3,0,23,5,3,20,18,15,15,10+ years,Yes,Very High,Yes
31,Yes,Travel_Rarely,249,Sales,4,Life Sciences,2,Male,163,76,1,2,Sales Executive,3,Married,6172,20739,Yes,18,3,2,0,12,3,2,7,7,7,7,10+ years,No,High,Yes
26,No,Travel_Rarely,841,Research & Development,3,Other,3,Female,164,46,2,1,Research Scientist,2,Married,2368,23300,No,19,3,3,0,5,3,2,5,4,4,3,3-5 years,No,Low,Yes
58,Yes,Travel_Rarely,147,Research & Development,4,Medical,4,Female,165,94,3,3,Healthcare Representative,4,Married,10312,3465,No,12,3,4,1,40,3,2,40,10,15,6,10+ years,No,Very High,Yes
19,Yes,Travel_Rarely,528,Sales,1,Marketing,4,Male,167,50,3,1,Sales Representative,3,Single,1675,26820,Yes,19,3,4,0,0,2,2,0,0,0,0,0-2 years,No,Low,No
22,No,Travel_Rarely,594,Research & Development,1,Technical Degree,3,Male,169,100,3,1,Laboratory Technician,4,Married,2523,19299,No,14,3,3,1,3,2,3,2,1,2,1,3-5 years,No,Low,Yes
49,No,Travel_Rarely,470,Research & Development,4,Medical,3,Female,170,96,3,2,Manufacturing Director,1,Married,6567,5549,No,14,3,3,0,16,2,2,15,11,5,11,10+ years,No,High,Yes
43,No,Travel_Frequently,957,Research & Development,3,Medical,2,Female,171,72,4,1,Research Scientist,3,Single,4739,16090,No,12,3,4,0,18,2,3,3,2,1,2,10+ years,No,Medium,Yes
50,No,Travel_Frequently,809,Sales,3,Marketing,3,Female,174,77,3,3,Sales Executive,4,Single,9208,6645,No,11,3,4,0,16,3,3,2,2,2,1,10+ years,No,High,Yes
31,Yes,Travel_Rarely,542,Sales,3,Life Sciences,2,Female,175,71,1,2,Sales Executive,3,Married,4559,24788,Yes,11,3,3,1,4,2,3,2,2,2,2,3-5 years,No,Medium,Yes
41,No,Travel_Rarely,802,Sales,1,Life Sciences,3,Male,176,96,3,3,Sales Executive,3,Divorced,8189,21196,Yes,13,3,3,1,12,2,3,9,7,0,7,10+ years,No,High,No
26,No,Travel_Rarely,1355,Human Resources,1,Life Sciences,3,Female,177,61,3,1,Human Resources,3,Married,2942,8916,No,23,4,4,1,8,3,3,8,7,5,7,6-10 years,No,Low,Yes
